lec_exam,location,meeting_days,begin_time,end_time
EXAM,PAC 114,W,08:30AM,11:00AM
LEC,PAC 116,MWF,08:30AM,09:20AM
LAB,PAC 116,M,02:30PM,05:20PM
EXAM,PAC 116,R,08:30AM,11:00AM
LEC,PAC 116,MWF,11:30AM,12:20PM
LAB,PAC 116,W,02:30PM,05:20PM
EXAM,PAC 116,R,12:00PM,02:30PM
LEC,PAC 113,MWF,09:30AM,10:20AM
ADD,PAC SWP,W,09:30AM,10:20AM
LAB,PAC 114,F,07:30AM,08:20AM
EXAM,PAC 113,M,08:30AM,11:00AM
LEC,PAC 116,MWF,09:30AM,10:20AM
